Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
4.871, 1004.0
4.880, 1005.0
4.889, 1006.0
4.898, 1007.0
4.908, 1008.0
4.917, 1009.0
4.926, 1010.0
4.935, 1011.0
4.944, 1012.0
4.954, 1013.0
4.963, 1014.0
4.972, 1015.0
4.981, 1016.0
4.990, 1017.0
5.000, 1018.0
5.009, 1019.0
5.018, 1020.0
5.027, 1021.0
5.037, 1022.0
5.046, 1023.0
5.055, 1024.0
5.065, 1025.0
5.074, 1026.0
5.083, 1027.0
5.092, 1028.0
5.102, 1029.0
5.111, 1030.0
5.120, 1031.0
5.130, 1032.0
5.139, 1033.0
5.148, 1034.0
5.158, 1035.0
5.167, 1036.0
5.176, 1037.0
5.186, 1038.0
5.195, 1039.0
5.205, 1040.0
5.214, 1041.0
5.223, 1042.0
5.233, 1043.0
5.242, 1044.0
5.252, 1045.0
5.261, 1046.0
5.270, 1047.0
5.280, 1048.0
5.289, 1049.0
5.299, 1050.0
5.308, 1051.0
5.318, 1052.0
5.327, 1053.0
5.337, 1054.0
5.346, 1055.0
5.356, 1056.0
5.365, 1057.0
5.375, 1058.0
5.384, 1059.0
5.394, 1060.0
5.403, 1061.0
5.413, 1062.0
5.422, 1063.0
5.432, 1064.0
5.441, 1065.0
5.451, 1066.0
5.460, 1067.0
5.470, 1068.0
5.480, 1069.0
5.489, 1070.0
5.499, 1071.0
5.508, 1072.0
5.518, 1073.0
5.528, 1074.0
5.537, 1075.0
5.547, 1076.0
5.556, 1077.0
5.566, 1078.0
5.576, 1079.0
5.585, 1080.0
5.595, 1081.0
5.605, 1082.0
5.614, 1083.0
5.624, 1084.0
5.634, 1085.0
5.643, 1086.0
5.653, 1087.0
5.663, 1088.0
5.672, 1089.0
5.682, 1090.0
5.692, 1091.0
5.702, 1092.0
5.711, 1093.0
5.721, 1094.0
5.731, 1095.0
5.740, 1096.0
5.750, 1097.0
5.760, 1098.0
5.770, 1099.0
5.780, 1100.0
5.789, 1101.0
5.799, 1102.0
5.809, 1103.0
5.819, 1104.0
5.828, 1105.0
5.838, 1106.0
5.848, 1107.0
5.858, 1108.0
5.868, 1109.0
5.878, 1110.0
5.887, 1111.0
5.897, 1112.0
5.907, 1113.0
5.917, 1114.0
5.927, 1115.0
5.937, 1116.0
