Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
23.364, 1291.0
23.380, 1292.0
23.397, 1293.0
23.414, 1294.0
23.431, 1295.0
23.447, 1296.0
23.464, 1297.0
23.481, 1298.0
23.497, 1299.0
23.514, 1300.0
23.530, 1301.0
23.547, 1302.0
23.564, 1303.0
23.580, 1304.0
23.597, 1305.0
23.614, 1306.0
23.630, 1307.0
23.647, 1308.0
23.663, 1309.0
23.680, 1310.0
23.697, 1311.0
23.713, 1312.0
23.730, 1313.0
23.746, 1314.0
23.763, 1315.0
23.779, 1316.0
23.796, 1317.0
23.812, 1318.0
23.829, 1319.0
23.846, 1320.0
23.862, 1321.0
23.879, 1322.0
23.895, 1323.0
23.912, 1324.0
23.928, 1325.0
23.945, 1326.0
23.961, 1327.0
23.978, 1328.0
23.994, 1329.0
24.010, 1330.0
24.027, 1331.0
24.043, 1332.0
24.060, 1333.0
24.076, 1334.0
24.093, 1335.0
24.109, 1336.0
24.126, 1337.0
24.142, 1338.0
24.158, 1339.0
24.175, 1340.0
24.191, 1341.0
24.208, 1342.0
24.224, 1343.0
24.240, 1344.0
24.257, 1345.0
24.273, 1346.0
24.290, 1347.0
24.306, 1348.0
24.322, 1349.0
24.339, 1350.0
24.355, 1351.0
24.371, 1352.0
24.388, 1353.0
24.404, 1354.0
24.420, 1355.0
24.437, 1356.0
24.453, 1357.0
24.46, 1358.0
24.485, 1359.0
24.502, 1360.0
24.518, 1361.0
24.534, 1362.0
24.551, 1363.0
24.567, 1364.0
24.583, 1365.0
24.599, 1366.0
24.616, 1367.0
24.632, 1368.0
24.648, 1369.0
24.664, 1370.0
24.680, 1371.0
24.697, 1372.0
24.713, 1373.0
24.729, 1374.0
24.745, 1375.0
24.762, 1376.0
24.778, 1377.0
24.794, 1378.0
24.810, 1379.0
24.826, 1380.0
24.842, 1381.0
24.859, 1382.0
24.875, 1383.0
24.891, 1384.0
24.907, 1385.0
24.923, 1386.0
24.939, 1387.0
24.955, 1388.0
24.971, 1389.0
24.988, 1390.0
25.004, 1391.0
25.020, 1392.0
25.036, 1393.0
25.052, 1394.0
25.068, 1395.0
25.084, 1396.0
25.100, 1397.0
25.116, 1398.0
24.132, 1399.0
25.148, 1400.0
25.164, 1401.0
25.180, 1402.0
25.196, 1403.0
25.212, 1404.0
25.228, 1405.0
25.244, 1406.0
25.260, 1407.0
25.276, 1408.0
25.292, 1409.0
25.308, 1410.0
25.324, 1411.0
25.340, 1412.0
25.356, 1413.0
25.372, 1414.0
25.388, 1415.0
25.404, 1416.0
25.420, 1417.0
25.436, 1418.0
25.452, 1419.0
25.468, 1420.0
25.484, 1421.0
25.500, 1422.0
25.516, 1423.0
25.532, 1424.0
25.547, 1425.0
25.563, 1426.0
25.579, 1427.0
25.595, 1428.0
25.611, 1429.0
25.627, 1430.0
25.643, 1431.0
25.658, 1432.0
25.674, 1433.0
25.690, 1434.0
25.706, 1435.0
25.722, 1436.0
25.738, 1437.0
25.753, 1438.0
25.769, 1439.0
25.785, 1440.0
25.801, 1441.0
25.817, 1442.0
25.832, 1443.0
25.848, 1444.0
25.864, 1445.0
25.880, 1446.0
25.896, 1447.0
25.911, 1448.0
25.927, 1449.0
25.943, 1450.0
25.959, 1451.0
25.974, 1452.0
25.990, 1453.0
26.006, 1454.0
26.021, 1455.0
26.037, 1456.0
26.053, 1457.0
26.069, 1458.0
26.084, 1459.0
26.100, 1460.0
26.116, 1461.0
26.131, 1462.0
26.147, 1463.0
26.163, 1464.0
26.178, 1465.0
26.194, 1466.0
26.209, 1467.0
26.225, 1468.0
26.241, 1469.0
26.256, 1470.0
